,season,team1,team2,toss_winner,toss_decision,venue
59,2008,3,6,6,1,13
60,2008,0,2,0,0,20
61,2008,5,1,5,0,8
62,2008,4,6,4,0,30
64,2008,2,5,2,0,23
66,2008,0,4,4,1,14
68,2008,2,4,4,1,20
69,2008,6,5,5,1,13
70,2008,3,0,3,0,14
72,2008,1,2,1,0,20
73,2008,0,6,0,0,13
74,2008,3,4,3,0,7
75,2008,1,6,6,1,8
77,2008,5,3,5,0,23
78,2008,0,1,0,0,14
80,2008,2,3,2,0,20
81,2008,4,1,1,1,4
82,2008,0,5,0,0,23
83,2008,6,2,2,1,13
85,2008,5,4,4,1,4
86,2008,1,0,0,1,8
87,2008,3,6,3,0,7
89,2008,6,4,4,1,13
90,2008,0,2,2,1,14
92,2008,1,5,5,1,23
93,2008,6,2,6,0,20
94,2008,3,1,3,0,7
95,2008,0,4,4,1,30
96,2008,2,5,5,1,20
98,2008,3,4,4,1,30
99,2008,1,2,1,0,8
100,2008,5,6,6,1,23
102,2008,3,0,3,0,7
103,2008,6,1,1,1,13
104,2008,3,5,5,1,7
105,2008,2,4,4,1,30
106,2008,6,0,6,0,14
108,2008,4,1,1,1,8
109,2008,5,0,5,0,14
111,2008,2,3,2,0,7
112,2008,4,5,5,1,23
114,2008,5,1,1,1,30
115,2008,2,0,2,0,30
116,2008,0,5,5,1,4
117,2009,4,0,0,1,17
118,2009,6,5,6,0,17
119,2009,2,1,1,1,17
121,2009,0,6,0,0,27
122,2009,2,3,3,1,12
124,2009,1,0,1,0,12
125,2009,5,3,3,1,17
126,2009,6,2,6,0,12
128,2009,6,1,6,0,27
129,2009,2,5,2,0,17
131,2009,4,3,4,0,27
132,2009,1,5,1,0,29
133,2009,3,6,3,0,12
134,2009,2,4,2,0,12
136,2009,0,5,5,1,29
137,2009,4,3,4,0,2
138,2009,6,2,6,0,12
140,2009,0,1,1,1,16
141,2009,3,2,3,0,27
142,2009,4,6,4,0,16
144,2009,5,2,2,1,12
145,2009,3,1,3,0,12
147,2009,6,5,5,1,29
148,2009,0,2,0,0,29
149,2009,4,1,4,0,2
151,2009,5,0,5,0,3
152,2009,4,6,4,0,27
153,2009,3,1,1,1,16
155,2009,3,6,6,1,29
156,2009,2,4,2,0,29
158,2009,0,6,0,0,12
159,2009,5,4,5,0,12
160,2009,1,2,2,1,18
161,2009,4,0,4,0,27
164,2009,1,5,1,0,18
165,2009,0,3,0,0,29
166,2009,1,6,1,0,16
167,2009,5,3,3,1,12
168,2009,0,2,0,0,12
169,2009,4,1,1,1,29
172,2009,0,6,6,1,16
175,2010,4,5,4,0,1
176,2010,2,1,1,1,20
177,2010,6,3,3,1,7
179,2010,5,1,1,1,22
180,2010,2,6,2,0,13
181,2010,0,3,0,0,7
182,2010,4,1,1,1,8
183,2010,5,6,6,1,13
184,2010,1,0,1,0,8
186,2010,5,3,5,0,22
187,2010,4,6,4,0,1
189,2010,2,0,0,1,14
190,2010,3,4,3,0,1
191,2010,6,0,0,1,13
192,2010,5,2,2,1,20
193,2010,0,4,4,1,1
195,2010,3,2,3,0,20
196,2010,1,6,6,1,13
197,2010,5,0,5,0,22
199,2010,1,3,1,0,8
200,2010,2,4,4,1,1
201,2010,6,0,6,0,14
202,2010,1,5,1,0,8
204,2010,2,6,2,0,20
205,2010,0,5,0,0,14
207,2010,3,2,3,0,7
208,2010,1,6,1,0,8
210,2010,0,4,0,0,14
211,2010,2,5,2,0,23
212,2010,3,1,3,0,7
214,2010,4,2,4,0,20
216,2010,3,6,6,1,13
217,2010,1,2,1,0,8
218,2010,4,5,5,1,23
220,2010,4,1,4,0,1
221,2010,3,0,3,0,14
222,2010,5,6,5,0,23
223,2010,0,1,0,0,14
225,2010,4,6,6,1,13
226,2010,5,3,5,0,7
227,2010,2,0,0,1,9
229,2010,4,3,4,0,7
230,2010,4,6,4,0,4
233,2010,0,4,0,0,4
234,2011,0,3,0,0,14
237,2011,1,4,1,0,8
240,2011,1,5,1,0,23
241,2011,6,4,4,1,13
242,2011,0,2,2,1,20
245,2011,5,3,3,1,23
247,2011,0,6,0,0,14
250,2011,5,3,3,1,7
255,2011,2,5,5,1,20
256,2011,4,0,0,1,30
257,2011,3,6,6,1,7
258,2011,1,2,2,1,8
262,2011,1,6,6,1,8
265,2011,3,1,1,1,8
266,2011,4,5,5,1,23
269,2011,2,3,3,1,7
272,2011,4,2,2,1,30
275,2011,5,0,5,0,14
279,2011,6,2,2,1,13
280,2011,0,3,0,0,7
281,2011,4,1,1,1,30
284,2011,0,5,5,1,23
286,2011,2,4,4,1,20
287,2011,5,6,6,1,23
288,2011,0,1,0,0,14
290,2011,3,6,6,1,13
292,2011,2,1,1,1,9
295,2011,2,6,2,0,9
298,2011,4,5,4,0,30
301,2011,0,6,6,1,13
302,2011,3,4,4,1,7
303,2011,6,0,0,1,30
304,2011,3,4,4,1,30
305,2011,6,4,4,1,14
306,2011,0,6,0,0,14
307,2012,0,4,4,1,14
308,2012,3,1,1,1,7
310,2012,5,2,2,1,23
311,2012,6,1,1,1,13
313,2012,5,3,3,1,23
316,2012,3,6,6,1,13
317,2012,0,1,1,1,8
318,2012,4,5,5,1,30
319,2012,6,0,6,0,14
321,2012,5,3,5,0,7
324,2012,2,3,3,1,7
325,2012,5,6,5,0,13
326,2012,4,1,1,1,30
329,2012,2,3,2,0,20
332,2012,2,6,6,1,20
333,2012,5,0,5,0,14
335,2012,4,2,4,0,30
337,2012,6,5,5,1,23
339,2012,2,4,2,0,20
341,2012,1,4,4,1,8
342,2012,2,0,2,0,14
343,2012,3,6,3,0,7
344,2012,1,5,1,0,8
346,2012,0,3,0,0,14
348,2012,5,1,5,0,23
349,2012,6,2,2,1,13
353,2012,5,2,5,0,20
354,2012,0,4,4,1,30
356,2012,1,3,1,0,8
359,2012,4,6,6,1,30
360,2012,5,0,0,1,23
362,2012,4,3,4,0,7
363,2012,1,0,0,1,14
366,2012,6,4,4,1,13
367,2012,3,0,0,1,7
368,2012,2,1,2,0,8
369,2012,3,4,4,1,30
370,2012,0,2,2,1,9
371,2012,6,1,1,1,8
373,2012,2,1,1,1,9
376,2012,5,4,5,0,23
377,2012,3,1,3,0,28
378,2012,0,4,4,1,13
379,2012,0,1,1,1,14
380,2012,0,3,0,0,14
381,2013,1,3,3,1,7
382,2013,6,4,4,1,13
384,2013,5,1,5,0,8
385,2013,4,0,4,0,14
387,2013,6,7,6,0,21
388,2013,5,3,3,1,23
389,2013,4,1,4,0,30
390,2013,2,0,0,1,20
391,2013,3,6,6,1,13
393,2013,1,7,1,0,8
395,2013,6,0,0,1,14
396,2013,3,7,3,0,7
397,2013,2,5,5,1,23
399,2013,2,3,3,1,20
400,2013,1,6,6,1,13
402,2013,5,4,5,0,23
403,2013,0,1,0,0,8
404,2013,2,7,2,0,21
405,2013,3,0,3,0,7
406,2013,5,6,6,1,13
407,2013,4,1,4,0,8
409,2013,5,0,5,0,14
411,2013,2,1,1,1,9
412,2013,3,4,3,0,7
413,2013,7,0,7,0,14
414,2013,2,3,2,0,7
415,2013,7,5,7,0,23
416,2013,4,6,4,0,30
